shotNumb,first frame,last frame
10,1001,1167
20,1001,1145
30,1001,1130
40,1001,1116
50,1001,1071
60,1001,1140
70,1001,1090
80,1001,1138
90,1001,1067
100,1001,1107
110,1001,1065
120,1001,1081
130,1001,1123
140,1001,1249
150,1001,1113
160,1001,1113
170,1001,1104
180,1001,1113
190,1001,1092
200,1001,1126
210,1001,1216
211,1001,1216
220,1001,1141
230,1001,1107
240,1001,1100
250,1001,1205
260,1001,1111
270,1001,1056
280,1001,1060
290,1001,1052
300,1001,1046
310,1001,1047
320,1001,1032
330,1001,1028
340,1001,1035
350,1001,1041
360,1001,1036
370,1001,1032
380,1001,1034
390,1001,1044
400,1001,1035
410,1001,1048
420,1001,1049
430,1001,1036
440,1001,1042
450,1001,1032
460,1001,1031
470,1001,1028
480,1001,1036
490,1001,1059
500,1001,1052
510,1001,1067
520,1001,1061
530,1001,1078
540,1001,1075
550,1001,1075
560,1001,1073
570,1001,1054
580,1001,1077
590,1001,1087
600,1001,1107
610,1001,1122
620,1001,1068
630,1001,1093
640,1001,1029
650,1001,1029
660,1001,1049
670,1001,1048
680,1001,1121
690,1001,1078
700,1001,1099
710,1001,1110
720,1001,1048
730,1001,1044
740,1001,1048
750,1001,1153
760,1001,1078
770,1001,1089
780,1001,1067
790,1001,1042
800,1001,1096
810,1001,1043
820,1001,1071
830,1001,1086
840,1001,1103
850,1001,1078
860,1001,1050
870,1001,1032
880,1001,1031
890,1001,1065
900,1001,1059
910,1001,1054
920,1001,1054
930,1001,1054
940,1001,1065
950,1001,1058
960,1001,1050
970,1001,1033
980,1001,1053
990,1001,1045
1000,1001,1032
1010,1001,1050
1020,1001,1059
1030,1001,1100
1040,1001,1090
1050,1001,1045
1060,1001,1025
1070,1001,1053
1080,1001,1073
1090,1001,1092
1100,1001,1074
1110,1001,1045
1120,1001,1056
1130,1001,1108
1140,1001,1097
1150,1001,1056
1160,1001,1054
1170,1001,1098
1180,1001,1075
1190,1001,1108
1200,1001,1111
1210,1001,1073
1220,1001,1112
1230,1001,1073
1240,1001,1064
1250,1001,1071
1260,1001,1077
1270,1001,1129
1280,1001,1104
1290,1001,1111
1300,1001,1081
1310,1001,1055
1320,1001,1276
1330,1001,1127
1340,1001,1063
1350,1001,1141
1360,1001,1071
1370,1001,1123
1380,1001,1155
1390,1001,1083
1400,1001,1113
1410,1001,1142
1420,1001,1069
1430,1001,1318
1440,1001,1169
1450,1001,1153
1460,1001,1099
1470,1001,1185
